trainee,id,cat,subcat,text,grade
17,02,입사 후 포부,단기 목표,"입사 후 6개월 이내에는 자사 제품과 브랜드 아이덴티티를 철저히 분석하고, 기존 홍보 전략을 이해한 후 SNS 콘텐츠 기획과 성과 분석 업무를 담당하고 싶습니다.",B
17,02,입사 후 포부,장기 비전,"장기적으로는 글로벌 타겟 마케팅 캠페인을 주도하고, 고객 중심 홍보 전략을 수립하는 콘텐츠 마케터로 성장하고 싶습니다.",B
17,02,입사 후 포부,기여 방안,"SNS 홍보 및 브랜딩에 강점을 가진 점이 인상 깊었습니다. 소비자의 관심을 끄는 스토리텔링 능력으로 기여하고 싶습니다.",B
17,02,직무 경험,실무 경험,"토스뱅크에서 2년간 진행한 홍보 업무에서는 보도자료 작성, SNS 운영, 이벤트 기획 등을 담당하며 브랜드 이미지 구축에 기여했습니다.",A
17,02,직무 경험,직무 관련 능력,"Adenasoft 재직 당시에는 온라인 마케팅 전략 수립과 콘텐츠 분석을 담당하며 실제 광고 효율을 높인 경험이 있습니다.",B
17,02,직무 경험,문제 해결력,"보석샵에서는 직접 고객을 응대하며 설득력과 상품 설명 능력을 키웠습니다.",B
17,03,성장과정,가치관,"저는 책임감이 강한 어머니와 섬세한 성격의 아버지 밑에서 성장하며, 성실함과 배려를 자연스럽게 배우게 되었습니다.",B
17,03,성장과정,가족/환경의 영향,"어린 시절부터 저는 늘 가족을 도우며 자라왔고, 작은 일에도 감사할 줄 아는 태도를 지녀왔습니다.",A
17,03,성장과정,전환점/특별한 경험,"대학 입학을 위해 서울로 올라와 낯선 환경에서 혼자 공부하며 스스로 문제를 해결하는 법을 익힌 것이 저의 큰 전환점이었습니다.",B
17,03,성격의 장단점,장점 기술,"저는 조용하지만 책임감이 강하고 꾸준함이 강점입니다. 맡은 일을 끝까지 해내려는 끈기는 팀 과제나 학업에서도 늘 빛을 발했습니다.",B
17,03,성격의 장단점,단점 기술 및 극복 노력,"새로운 환경에 적응할 때 시간이 조금 걸리는 편이지만, 중앙대학교 영어 과정을 통해 다양한 친구들과 어울리며 자신감을 기를 수 있었습니다.",C
17,03,성격의 장단점,대인관계 성향,"중앙대학교 영어 과정을 통해 다양한 친구들과 어울리며 자신감을 기를 수 있었습니다.",C
17,03,학창시절,학업 태도,"경영학과 재학 중 팀 프로젝트와 프레젠테이션 중심의 수업에서 성실한 준비로 팀 내 신뢰를 얻었습니다.",A
17,03,학창시절,활동 참여,"영어 능력 향상을 위해 자율적으로 영어 발표 동아리에 참여하였습니다.",B
17,03,학창시절,성취 및 도전 경험,"TOEIC 850점을 취득하며 목표를 달성했습니다. 학창시절은 도전보다는 기초를 탄탄히 다지는 시기였습니다.",C
17,03,지원동기,회사/직무 이해도,"귀사는 체계적인 경영 시스템과 글로벌 네트워크를 갖춘 기업으로, 신입에게도 성장 기회를 넓게 제공하는 것으로 알고 있습니다.",B
17,03,지원동기,지원 이유의 명확성,"저는 경영 전공 지식과 외국어 능력을 바탕으로 실무에 빠르게 적응하고...",B
17,03,지원동기,직무 적합성 강조,"고객 응대와 내부 문서 관리 같은 세부 업무를 정확하고 성실하게 수행할 수 있습니다.",C
17,03,입사 후 포부,단기 목표,"입사 후 6개월 이내에는 회사 시스템에 완벽히 적응하고, 선배들과의 협업을 통해 실무 역량을 빠르게 끌어올리겠습니다.",B
17,03,입사 후 포부,장기 비전,"장기적으로는 데이터를 바탕으로 효율적인 업무 프로세스를 제안할 수 있는 사무 관리 전문가로 성장해...",B
17,03,입사 후 포부,기여 방안,"회사 운영의 안정성과 효율성 향상에 기여하고 싶습니다.",C
17,03,직무 경험,실무 경험,"직접적인 실무 경험은 없다고 명시되어 있음",D
17,03,직무 경험,직무 관련 능력,"영어 과정을 통해 문서 작성 및 발표 능력을 체계적으로 훈련받은 바 있습니다.",C
17,03,직무 경험,문제 해결력,"정보 평가 부족",E
17,04,성장과정,가치관,"아버지는 매출보다 고객 신뢰를 먼저 강조하셨고, 어머니는 정직한 거래를 중시하셨습니다. 이 가정환경 속에서 사람 중심의 경영 철학을 배우게 되었고, 고객과의 신뢰와 소통을 가장 중요하게 생각하게 되었습니다.",A
17,04,성장과정,가족/환경의 영향,"저는 부모님의 작은 식자재 회사를 도우며 어릴 때부터 자연스럽게 ‘경영’이라는 단어를 접해왔습니다.",A
17,04,성장과정,전환점/특별한 경험,"이러한 가치관은 저를 경영학과로 이끌었고, 나아가 MBA 진학까지 결심하게 만든 원동력이었습니다.",B
17,04,성격의 장단점,장점 기술,"저는 책임감이 강하고 꼼꼼한 성격입니다. 프로젝트나 업무를 맡으면 철저한 사전 준비와 후속 관리를 통해 신뢰를 얻는 스타일입니다.",B
17,04,성격의 장단점,단점 기술 및 극복 노력,"때때로 완벽함을 추구하다 일정에 부담을 느끼는 경향이 있어, 최근에는 팀원들과의 분업 및 소통을 통해 효율적으로 일하는 법을 배우고 있습니다.",B
17,04,성격의 장단점,대인관계 성향,"통역 업무와 문서 작업 경험을 통해 상대방의 의도를 정확히 파악하고 정리하는 능력도 강화되었습니다.",B
17,04,학창시절,학업 태도,"경영 전략 분석, 마케팅 사례 연구를 통해 실무적인 사고와 발표 능력을 키웠습니다.",B
17,04,학창시절,활동 참여,"다양한 국적의 학생들과의 팀 프로젝트와 졸업 논문 수행",B
17,04,학창시절,성취 및 도전 경험,"졸업 논문에서는 실제 기업을 인터뷰하고 데이터 기반의 분석을 수행한 경험이 인상 깊었습니다.",B
17,04,지원동기,회사/직무 이해도,"귀사는 B2B 및 B2C 사업 영역에서 모두 성장하고 있는 글로벌 지향 기업으로 알고 있습니다.",B
17,04,지원동기,지원 이유의 명확성,"기존의 통번역 및 자료조사 업무, 제품 관리 경험을 바탕으로 기여하고 싶어 지원하게 되었습니다.",B
17,04,지원동기,직무 적합성 강조,"데이터 기반의 기획과 실행을 중시하며 다양한 이해관계자들과의 소통을 중요시하는 마인드를 갖추고 있습니다.",B
17,04,입사 후 포부,단기 목표,"입사 후 6개월 이내에는 사내 시스템과 제품 정보를 철저히 파악하고, 기존 자료 관리 및 고객 응대 업무에 빠르게 투입될 수 있도록 준비하겠습니다.",B
17,04,입사 후 포부,장기 비전,"소비자 분석을 바탕으로 한 마케팅 전략 수립에 기여하는 전문가로 성장하고 싶습니다.",B
17,04,입사 후 포부,기여 방안,"기존 자료 관리, 고객 응대, 마케팅 전략 수립 등 다양한 업무에 기여할 수 있다고 생각합니다.",B
17,04,직무 경험,실무 경험,"KHS 기업에서는 국제 거래 문서 작성, 시장 보고서 분석 경험, 건인약품에서는 제품 관리 및 마케팅 보조 경험이 있음.",A
17,04,직무 경험,직무 관련 능력,"제품 수급 관리, 문서 작성, 프로모션 기획 보조 등 다양한 실무를 체계적으로 수행",B
17,04,직무 경험,문제 해결력,"정보 평가 부족",E
17,05,성장과정,가치관,"무언가를 만들고 직접 조작하는 것을 좋아했고, 부모님의 핸드폰을 분해해보다 혼나기도 했던 경험이 소프트웨어와 공학에 대한 호기심으로 이어졌습니다.",B
17,05,성장과정,가족/환경의 영향,"부모님의 핸드폰을 분해해보다가 혼난 경험이 성장에 영향을 주었음.",C
17,05,성장과정,전환점/특별한 경험,"프로그래밍을 처음 접하고 도전의식을 기르며 전환점이 되었음.",B
17,05,성격의 장단점,장점 기술,"저는 새로운 것을 배울 때 꾸준히 파고드는 성격입니다. 특히 독학에 강하며, 끝까지 찾아보는 집요함이 저의 장점입니다.",A
17,05,성격의 장단점,단점 기술 및 극복 노력,"발표나 낯선 사람 앞에서 말하는 데 익숙하지 않았지만, 한국어 과정을 통해 자신감을 키움.",B
17,05,성격의 장단점,대인관계 성향,"외국인 친구들과 어울리며 소통의 자신감을 키웠다는 내용은 대인관계 개선과 관련.",C
17,05,학창시절,학업 태도,"소프트웨어학 전공, 실습 중심 수업에 적극 참여, 졸업 프로젝트 경험 등.",A
17,05,학창시절,활동 참여,"React 웹사이트 구현, 팀 단위 협업 프로젝트 경험 포함.",B
17,05,학창시절,성취 및 도전 경험,"졸업 프로젝트, DB 설계, 버전 관리 툴 활용 등 도전 요소 포함.",B
17,05,지원동기,회사/직무 이해도,"귀사는 IT 솔루션과 데이터 기반 시스템 개발에 앞장서고 있는 기업으로 신기술 접목에 강점이 있음.",A
17,05,지원동기,지원 이유의 명확성,"React 및 데이터 분석 역량으로 귀사에 기여하고자 한다는 논리적 설명 포함.",A
17,05,지원동기,직무 적합성 강조,"프론트엔드 개발 및 데이터 처리 업무에 강점을 가졌다고 설명함.",A
17,05,입사 후 포부,단기 목표,"6개월 이내 기존 프로젝트 유지보수 및 기능 추가 업무에 투입될 수 있도록 준비하겠다.",A
17,05,입사 후 포부,장기 비전,"풀스택 개발자로 성장해 사용자 중심의 서비스를 기획하고 구현하겠다는 장기 목표 제시.",A
17,05,입사 후 포부,기여 방안,"기여 방안이 포부 속에 포함되어 있으나 별도 구체화는 부족함.",C
17,05,직무 경험,실무 경험,"빅데이터 수집·분석, React 웹 개발 과제를 통한 실무 수준 프로젝트 경험 언급.",B
17,05,직무 경험,직무 관련 능력,"프론트엔드 기능 구현, API 연동, 상태 관리, 정보처리기사 자격증 언급 등.",A
17,05,직무 경험,문제 해결력,"사용자 요구사항 분석 및 기능 구현 능력은 간접적으로 문제 해결력 시사함.",C
17,06,성장과정,가치관,"창의성과 실행력을 중요시하며, 소통하는 콘텐츠에 흥미를 가짐.",B
17,06,성장과정,가족/환경의 영향,"어머니와 아버지의 성향이 창의성과 실행력을 자연스럽게 배우게 함.",A
17,06,성장과정,전환점/특별한 경험,"고등학교 시절 음악 동아리 홍보 포스터 제작이 마케팅 분야로 이끈 전환점이 됨.",A
17,06,성격의 장단점,장점 기술,"긍정적인 태도와 추진력, 아이디어 제안 및 실행력, 광고 콘텐츠 성과로 입증됨.",A
17,06,성격의 장단점,단점 기술 및 극복 노력,"다중 작업에서 집중력 저하 → 우선순위 관리로 개선 노력 중.",B
17,06,성격의 장단점,대인관계 성향,"대인관계에 대한 구체적 사례 부족 → 광고 성과 중심으로 서술됨.",C
17,06,학창시절,학업 태도,"마케팅 이론, 사례 학습, 데이터 기반 분석과 외부 교육 병행 등 능동적 학습 수행.",A
17,06,학창시절,활동 참여,"교내 마케팅 공모전 참가, 소비자 조사 및 전략 기획 수행.",A
17,06,학창시절,성취 및 도전 경험,"공모전 참가 및 외부 교육 병행은 도전적 태도와 성취 노력 반영.",B
17,06,지원동기,회사/직무 이해도,"귀사의 브랜드 전략, 창의 캠페인 역량 등 직무와 기업 특성 정확히 이해함.",A
17,06,지원동기,지원 이유의 명확성,"자격증, 실무 교육, 위임직 경험을 근거로 지원 이유 설명이 논리적임.",A
17,06,지원동기,직무 적합성 강조,"콘텐츠 기획~성과 분석까지 전 과정 수행 가능한 인재라고 강조.",A
17,06,입사 후 포부,단기 목표,"6개월 내 콘텐츠 운영 프로세스 습득, SNS 콘텐츠 제작 실무 적응 목표 명확.",A
17,06,입사 후 포부,장기 비전,"캠페인 기획자/마케팅 전략가로 성장, 타겟 분석 기반 마케팅 강조.",A
17,06,입사 후 포부,기여 방안,"실무 중심 위임직 경험으로 즉시 기여 가능성을 언급함.",B
17,06,직무 경험,실무 경험,"인턴 및 위임직 경험 포함, 실질적인 홍보 성과 있음.",A
17,06,직무 경험,직무 관련 능력,"PPT 제작, 캠페인 리서치, SNS 콘텐츠 기획, 전환율 분석까지 수행.",A
17,06,직무 경험,문제 해결력,"광고 콘텐츠의 성과 개선이나 문제 상황 해결에 대한 서술 부족",D
17,07,성장과정,가치관,"작은 일도 성실히 해야 큰 기회가 온다는 삶의 태도를 어릴 적 가게 도우며 체득함.",A
17,07,성장과정,가족/환경의 영향,"부모님이 운영하시던 가게에서 손님 응대하며 책임감과 실천력을 배움.",A
17,07,성장과정,전환점/특별한 경험,"전환점에 대한 구체적 사건이나 반성이 부족함 – 정보 평가 부족",E
17,07,성격의 장단점,장점 기술,"근면, 성실, 무결근 및 지각 없는 업무 태도로 신뢰를 얻음.",B
17,07,성격의 장단점,단점 기술 및 극복 노력,"소극적인 태도 극복 위해 작은 일부터 도전하는 방식으로 개선 노력 중.",B
17,07,성격의 장단점,대인관계 성향,"협업 내용 일부 존재하지만 뚜렷한 대인관계 사례 부족 – 정보 평가 부족",E
17,07,학창시절,학업 태도,"기초 이론 충실히 학습, 리포트 및 발표 성실 수행으로 교수님 평가 좋았음.",A
17,07,학창시절,활동 참여,"조별과제에서 서류 정리 및 발표 자료 준비 담당, 한국어 과정에서 외국인과 활동.",B
17,07,학창시절,성취 및 도전 경험,"특정 도전 과제나 수상 등의 언급 없음 – 정보 평가 부족",E
17,07,지원동기,회사/직무 이해도,"고객 중심 서비스 및 운영 시스템에 대한 이해 표현됨.",B
17,07,지원동기,지원 이유의 명확성,"서비스 경험과 업무 학습 의지를 통해 조직에 기여하고자 한다는 명확한 동기 서술.",A
17,07,지원동기,직무 적합성 강조,"고객 응대 및 기본 업무 역량과의 연결 강조.",A
17,07,입사 후 포부,단기 목표,"업무 매뉴얼 및 시스템 습득, 선배 지도를 받아 정확히 수행할 계획 제시.",A
17,07,입사 후 포부,장기 비전,"사무 행정 전반에 능숙한 구성원으로 성장해 운영 효율 및 만족도 향상 목표 명확.",A
17,07,입사 후 포부,기여 방안,"기여 방안이 간접적으로 표현되나 구체적 전략 언급 부족 – 정보 평가 부족",C
17,07,직무 경험,실무 경험,"고기집, 편의점 근무 4년간 고객 응대, 위기 대응, 협업 경험 등 구체적으로 서술됨.",A
17,07,직무 경험,직무 관련 능력,"직무 관련 자격 또는 기술 언급 부족 – 정보 평가 부족",E
17,07,직무 경험,문제 해결력,"혼잡 시간대 침착하게 주문 처리, 팀워크로 문제 해결 경험 서술됨.",B
17,08,성장과정,가치관,"‘배움은 삶을 바꾼다’는 믿음 아래 기술로 세상을 바꾸고자 하는 목표 형성.",A
17,08,성장과정,가족/환경의 영향,"부모님께 인터넷을 가르쳐드린 경험이 기술에 대한 흥미로 이어짐.",A
17,08,성장과정,전환점/특별한 경험,"CS50와 빅데이터 공부를 통해 진로 전환과 확신을 가지게 됨.",A
17,08,성격의 장단점,장점 기술,"배움에 대한 열정과 꼼꼼함, 인턴십 중 매뉴얼 작성과 피드백 수용 사례.",A
17,08,성격의 장단점,단점 기술 및 극복 노력,"의견 제시에 소극적이었으나 팀 프로젝트와 실무로 개선 중.",B
17,08,성격의 장단점,대인관계 성향,"팀 프로젝트와 실무 경험을 통해 커뮤니케이션 능력을 강화함.",B
17,08,학창시절,학업 태도,"CS50, 빅데이터 교육 등 자율적 학습 경험 풍부, 주도성 우수.",A
17,08,학창시절,활동 참여,"전략 수업 프로젝트 발표, 팀 리더 경험 언급 있음.",B
17,08,학창시절,성취 및 도전 경험,"CS50, 빅데이터 수료 등 목표 있는 도전 및 성취 기록 있음.",A
17,08,지원동기,회사/직무 이해도,"디지털 금융 및 IT 기반 기업이라는 특성 파악하고 있음.",B
17,08,지원동기,지원 이유의 명확성,"학습·인턴 경험과 연결된 논리적인 지원 이유 설명됨.",A
17,08,지원동기,직무 적합성 강조,"데이터 분석, 프로그래밍 기초 등 직무와 연관 역량 보유 강조.",A
17,08,입사 후 포부,단기 목표,"자료 분석 및 신속한 실무 적응 명확히 제시.",A
17,08,입사 후 포부,장기 비전,"고객 운영 프로세스 개선 등 실질적 기여 계획 존재.",A
17,08,입사 후 포부,기여 방안,"직접적 기여 방안보다는 성장 중심 내용 – 정보 평가 부족",C
17,08,직무 경험,실무 경험,"사무 보조, 고객 응대, 데이터 정리 등 명확한 실무 내용 제시.",B
17,08,직무 경험,직무 관련 능력,"직무 관련 자격/도구/기술에 대한 구체적 언급 없음 – 정보 평가 부족",E
17,08,직무 경험,문제 해결력,"문제 해결 사례가 아닌 일반적 적응 경험 중심 – 정보 평가 부족",E
17,09,성장과정,가치관,"타인과의 소통을 통해 성장했다는 철학이 잘 드러나 있음.",A
17,09,성장과정,가족/환경의 영향,"가족이 해외에서 생활하며 언어에 흥미를 가졌다는 설명 있음.",B
17,09,성장과정,전환점/특별한 경험,"영어 라디오 방송 동아리 활동이 전환점으로 제시됨.",B
17,09,성격의 장단점,장점 기술,"유연하고 적응력 강함. 바쁜 매장에서 효율성 기여한 구체적 사례 제시.",A
17,09,성격의 장단점,단점 기술 및 극복 노력,"자신의 의견을 미루던 성향을 영어 강사 경험을 통해 극복함.",A
17,09,성격의 장단점,대인관계 성향,"고객 응대, 팀워크, 영어 강사 활동에서의 소통 능력 강조.",A
17,09,학창시절,학업 태도,"국제경영 수업과 비즈니스 사례 프로젝트에 적극 참여.",B
17,09,학창시절,활동 참여,"발표 및 토론 수업 중심으로 참여하였다는 내용은 있으나 구체적 활동 부족.",C
17,09,학창시절,성취 및 도전 경험,"도전적 과제나 수상 언급 없음 – 정보 평가 부족",E
17,09,지원동기,회사/직무 이해도,"글로벌 고객 커뮤니케이션 기반 회사라는 특성 이해함.",A
17,09,지원동기,지원 이유의 명확성,"본인의 어학 실력과 경험을 회사 니즈에 연결한 논리적 설명.",A
17,09,지원동기,직무 적합성 강조,"어학 성적, 응대 경험, 커뮤니케이션 능력 등 직무 연계 강조됨.",A
17,09,입사 후 포부,단기 목표,"매뉴얼 습득, 팀 협업 기여 등 실현 가능한 단기 목표 명확함.",A
17,09,입사 후 포부,장기 비전,"다국어 응대 업무 확장과 고객관리 부문 성과 계획 명확함.",A
17,09,입사 후 포부,기여 방안,"고객 피드백 분석 및 개선 아이디어 제시 의지 포함.",A
17,09,직무 경험,실무 경험,"서빙과 영어 강사 업무 모두 구체적 경험으로 제시됨.",A
17,09,직무 경험,직무 관련 능력,"TOEIC 900, IELTS 8.0 등 직무에 활용 가능한 어학 능력 언급.",A
17,09,직무 경험,문제 해결력,"매장 내 문제에 유연히 대응한 경험으로 문제 해결력 제시됨.",B
17,10,성장과정,가치관,"끊임없이 '왜?'라고 질문하며 도전하는 자세, 실패를 두려워하지 않는 가치관이 명확히 드러남.",A
17,10,성장과정,가족/환경의 영향,"부모님의 격려가 도전정신과 성장에 영향을 미쳤다는 설명 있음.",A
17,10,성장과정,전환점/특별한 경험,"Python 독학과 자동화 프로그램 제작이 전환점으로 제시됨.",A
17,10,성격의 장단점,장점 기술,"논리적 사고와 데이터 분석 능력 강조, 문제 해결력과 연관됨.",A
17,10,성격의 장단점,단점 기술 및 극복 노력,"디테일에 집착하는 단점을 일정관리로 보완했다는 개선 노력 포함.",A
17,10,성격의 장단점,대인관계 성향,"팀 프로젝트에서 협업의 균형을 익혀가고 있음 언급, 기본 대인관계 기술 있음.",B
17,10,학창시절,학업 태도,"데이터사이언스 전공 과목에 대한 흥미와 성실한 학업 태도 설명됨.",A
17,10,학창시절,활동 참여,"졸업 프로젝트 및 한국어 과정 참여 언급 있으나, 구체적 활동 결과 부족.",B
17,10,학창시절,성취 및 도전 경험,"졸업 프로젝트(교통량 예측 시스템) 고득점 받은 경험 명확히 제시됨.",A
17,10,지원동기,회사/직무 이해도,"회사 특성과 업무 문화에 대한 이해 명확, 본인 기술 스택과 연계됨.",A
17,10,지원동기,지원 이유의 명확성,"보유 기술 + 실무 경험으로 실질적 성과 창출 가능성을 이유로 명확히 설명.",A
17,10,지원동기,직무 적합성 강조,"TensorFlow, AWS, Python 등과 직무의 연관성 구체적으로 서술됨.",A
17,10,입사 후 포부,단기 목표,"시스템 구조 분석 후 데이터 모델링에 빠르게 투입 목표 명확함.",A
17,10,입사 후 포부,장기 비전,"AI 기반 의사결정 시스템 개발을 주도하고자 하는 장기 비전 명확함.",A
17,10,입사 후 포부,기여 방안,"기술과 실무 연결을 통해 핵심 인재로 기여하고자 하는 의지가 드러남.",A
17,10,직무 경험,실무 경험,"FPT, 삼성전자에서의 데이터 분석과 AI 실무 경험 모두 구체적.",A
17,10,직무 경험,직무 관련 능력,"TensorFlow, Python, AWS 등 직무 관련 기술 다수 보유 및 실무 활용 경험 포함.",A
17,10,직무 경험,문제 해결력,"AI 모델 설계, 테스트, 리포트 작성 과정에 직접 참여한 내용은 문제 해결 사례로 적절.",A
