"trainee,id,cat,subcat,grade"
"16,04,성격의 장단점,단점 기술 및 극복 노력,D"
"16,04,성격의 장단점,대인관계 성향,B"
"16,04,학창시절,학업 태도,C"
"16,04,학창시절,활동 참여,D"
"16,04,학창시절,성취 및 도전 경험,D"
"16,04,지원동기,회사/직무 이해도,B"
"16,04,지원동기,지원 이유의 명확성,B"
"16,04,지원동기,직무 적합성 강조,A"
"16,04,입사후포부,단기 목표,A"
"16,04,입사후포부,장기 비전,A"
"16,04,입사후포부,기여 방안,B"
"16,04,직무경험,실무 경험,A"
"16,04,직무경험,직무 관련 능력,A"
"16,04,직무경험,문제 해결력,B"
"16,05,성장과정,가치관,B"
"16,05,성장과정,가족/환경의 영향,C"
"16,05,성장과정,전환점/특별한 경험,C"
"16,05,성격의 장단점,장점 기술,C"
"16,05,성격의 장단점,단점 기술 및 극복 노력,D"
"16,05,성격의 장단점,대인관계 성향,B"
"16,05,학창시절,학업 태도,B"
"16,05,학창시절,활동 참여,B"
"16,05,학창시절,성취 및 도전 경험,C"
"16,05,지원동기,회사/직무 이해도,B"
"16,05,지원동기,지원 이유의 명확성,A"
"16,05,지원동기,직무 적합성 강조,A"
"16,05,입사후포부,단기 목표,B"
"16,05,입사후포부,장기 비전,A"
"16,05,입사후포부,기여 방안,B"
"16,05,직무경험,실무 경험,B"
"16,05,직무경험,직무 관련 능력,B"
"16,05,직무경험,문제 해결력,C"
"16,06,성장과정,가치관,B"
"16,06,성장과정,가족/환경의 영향,B"
"16,06,성장과정,전환점/특별한 경험,C"
"16,06,성격의 장단점,장점 기술,C"
"16,06,성격의 장단점,단점 기술 및 극복 노력,D"
"16,06,성격의 장단점,대인관계 성향,B"
"16,06,학창시절,학업 태도,B"
"16,06,학창시절,활동 참여,B"
"16,06,학창시절,성취 및 도전 경험,C"
"16,06,지원동기,회사/직무 이해도,A"
"16,06,지원동기,지원 이유의 명확성,A"
"16,06,지원동기,직무 적합성 강조,A"
"16,06,입사후포부,단기 목표,B"
"16,06,입사후포부,장기 비전,A"
"16,06,입사후포부,기여 방안,B"
"16,06,직무경험,실무 경험,B"
"16,06,직무경험,직무 관련 능력,B"
"16,06,직무경험,문제 해결력,C"
"16,07,성장과정,가치관,B"
"16,07,성장과정,가족/환경의 영향,D"
"16,07,성장과정,전환점/특별한 경험,B"
"16,07,성격의 장단점,장점 기술,B"
"16,07,성격의 장단점,단점 기술 및 극복 노력,D"
"16,07,성격의 장단점,대인관계 성향,B"
"16,07,학창시절,학업 태도,B"
"16,07,학창시절,활동 참여,B"
"16,07,학창시절,성취 및 도전 경험,B"
"16,07,지원동기,회사/직무 이해도,B"
"16,07,지원동기,지원 이유의 명확성,A"
"16,07,지원동기,직무 적합성 강조,A"
"16,07,입사후포부,단기 목표,A"
"16,07,입사후포부,장기 비전,A"
"16,07,입사후포부,기여 방안,B"
"16,07,직무경험,실무 경험,A"
"16,07,직무경험,직무 관련 능력,A"
"16,07,직무경험,문제 해결력,B"
"16,08,성장과정,가치관,B"
"16,08,성장과정,가족/환경의 영향,B"
"16,08,성장과정,전환점/특별한 경험,C"
"16,08,성격의 장단점,장점 기술,B"
"16,08,성격의 장단점,단점 기술 및 극복 노력,D"
"16,08,성격의 장단점,대인관계 성향,B"
"16,08,학창시절,학업 태도,B"
"16,08,학창시절,활동 참여,B"
"16,08,학창시절,성취 및 도전 경험,C"
"16,08,지원동기,회사/직무 이해도,B"
"16,08,지원동기,지원 이유의 명확성,A"
"16,08,지원동기,직무 적합성 강조,A"
"16,08,입사후포부,단기 목표,B"
"16,08,입사후포부,장기 비전,A"
"16,08,입사후포부,기여 방안,B"
"16,08,직무경험,실무 경험,A"
"16,08,직무경험,직무 관련 능력,A"
"16,08,직무경험,문제 해결력,B"
"16,09,성장과정,가치관,A"
"16,09,성장과정,가족/환경의 영향,B"
"16,09,성장과정,전환점/특별한 경험,A"
"16,09,성격의 장단점,장점 기술,B"
"16,09,성격의 장단점,단점 기술 및 극복 노력,D"
"16,09,성격의 장단점,대인관계 성향,B"
"16,09,학창시절,학업 태도,A"
"16,09,학창시절,활동 참여,B"
"16,09,학창시절,성취 및 도전 경험,A"
"16,09,지원동기,회사/직무 이해도,A"
"16,09,지원동기,지원 이유의 명확성,A"
"16,09,지원동기,직무 적합성 강조,A"
"16,09,입사후포부,단기 목표,A"
"16,09,입사후포부,장기 비전,A"
"16,09,입사후포부,기여 방안,B"
"16,09,직무경험,실무 경험,A"
"16,09,직무경험,직무 관련 능력,A"
"16,09,직무경험,문제 해결력,B"
"16,10,성장과정,가치관,B"
"16,10,성장과정,가족/환경의 영향,B"
"16,10,성장과정,전환점/특별한 경험,B"
"16,10,성격의 장단점,장점 기술,B"
"16,10,성격의 장단점,단점 기술 및 극복 노력,D"
"16,10,성격의 장단점,대인관계 성향,B"
"16,10,학창시절,학업 태도,B"
"16,10,학창시절,활동 참여,B"
"16,10,학창시절,성취 및 도전 경험,A"
"16,10,지원동기,회사/직무 이해도,B"
"16,10,지원동기,지원 이유의 명확성,A"
"16,10,지원동기,직무 적합성 강조,A"
"16,10,입사후포부,단기 목표,A"
"16,10,입사후포부,장기 비전,A"
"16,10,입사후포부,기여 방안,B"
"16,10,직무경험,실무 경험,A"
"16,10,직무경험,직무 관련 능력,A"
"16,10,직무경험,문제 해결력,B"
